actual,predicted
234000,194090.9090909091
105900,89885.0
84500,156236.41666666666
193500,162090.625
125000,155036.36363636365
250000,302198.6
311500,188700.0
157000,155036.36363636365
132500,130628.57142857143
248328,219468.18181818182
144000,143363.15789473685
110500,155036.36363636365
350000,313674.4666666667
127500,143363.15789473685
156000,141059.375
290000,256026.92307692306
110000,117740.0
226700,209212.5
268000,239706.94444444444
137000,117037.28571428571
121500,160123.82352941178
380000,487367.1
230000,219300.0
213490,194090.9090909091
187000,219300.0
137500,174515.7142857143
145000,140690.0
152000,156236.41666666666
148800,149840.75
109000,132425.0
135500,117037.28571428571
201000,265687.5833333333
194000,194550.0
143000,141059.375
125000,160123.82352941178
181000,143363.15789473685
185900,174515.7142857143
181000,175698.92857142858
134500,130628.57142857143
215000,241380.83333333334
112500,131435.29411764705
213000,219468.18181818182
132500,131435.29411764705
128200,123395.45454545454
202665,188334.0
106500,77774.76470588235
228500,209212.5
146500,162090.625
501837,377862.0
250000,211070.0
256300,258272.8
75000,92776.92307692308
164000,167728.57142857142
109900,117037.28571428571
164000,158435.0
437154,487367.1
110000,111673.69230769231
107500,129186.66666666667
217500,176189.5294117647
176432,181900.0
150500,156236.41666666666
159500,156986.66666666666
132500,143916.66666666666
173000,181900.0
223000,219300.0
145000,141059.375
148000,140690.0
141000,174515.7142857143
132500,131435.29411764705
174000,175698.92857142858
108000,104580.42857142857
260000,167210.0
110000,117037.28571428571
124500,111673.69230769231
132000,122618.18181818182
284000,246860.0
204000,241380.83333333334
250000,233499.15384615384
158000,117037.28571428571
377426,377862.0
245350,246860.0
232000,258272.8
181000,188172.72727272726
139950,130421.84615384616
148000,155036.36363636365
197000,210716.35714285713
93000,111673.69230769231
268000,373207.1538461539
118858,145432.3125
145500,141059.375
200500,162090.625
161000,149840.75
123000,111673.69230769231
140000,181900.0
82500,77774.76470588235
155000,158435.0
203000,241380.83333333334
135000,129741.66666666667
111250,111673.69230769231
117000,162090.625
201000,219300.0
208500,174515.7142857143
89000,89885.0
280000,250389.61538461538
160000,129186.66666666667
175500,167210.0
118500,129186.66666666667
176000,167702.2
140000,155036.36363636365
110000,111673.69230769231
169900,143363.15789473685
117500,117037.28571428571
115000,100108.33333333333
173000,174990.0
125000,116300.5
115000,145432.3125
301500,373207.1538461539
252678,209212.5
141000,150175.72727272726
440000,373207.1538461539
256000,176189.5294117647
204750,219300.0
129900,131435.29411764705
150900,158545.45454545456
91000,92776.92307692308
136500,150175.72727272726
175000,176189.5294117647
179400,188243.75
215000,174310.7142857143
181134,210716.35714285713
89500,101890.0
180000,176189.5294117647
319900,313674.4666666667
260000,239706.94444444444
138887,129186.66666666667
114500,130628.57142857143
755000,487367.1
78000,96340.0
221000,233499.15384615384
185000,175698.92857142858
189000,219300.0
325000,399630.2
255000,246860.0
84000,92776.92307692308
136500,158545.45454545456
248000,256026.92307692306
183500,174515.7142857143
100000,136866.66666666666
187500,211070.0
132000,141059.375
145000,154290.0
227000,219468.18181818182
128000,104580.42857142857
275500,256026.92307692306
186500,188172.72727272726
194500,194550.0
187500,174515.7142857143
318000,297854.1666666667
133000,131435.29411764705
149000,129186.66666666667
248000,233499.15384615384
130250,123395.45454545454
109500,89885.0
143000,160123.82352941178
108000,143075.81818181818
192000,221336.36363636365
159000,156236.41666666666
219210,209212.5
165000,143363.15789473685
118500,132425.0
250000,246860.0
190000,241380.83333333334
315500,313674.4666666667
167500,130421.84615384616
149000,188700.0
98000,129741.66666666667
121000,100108.33333333333
91000,116300.5
163000,158545.45454545456
225000,233499.15384615384
185000,174310.7142857143
154000,158545.45454545456
176000,156986.66666666666
130000,129741.66666666667
107000,143363.15789473685
